yrke,Sist år,Endring sist år,Endring siste 5 år
Saksbehandlere innen sosiale ytelser,41550.0,3.101736972704715,11.513687600644122
Salgs- og markedssjefer,82800.0,5.787658106554235,15.64245810055866
Salgskonsulenter innen IKT-produkter,65990.0,2.1200866604766326,9.418006964019234
Salgskonsulenter innen tekniske og medisinske produkter,68070.0,4.8844375963020035,15.138700947225981
Selgere (engros),58910.0,4.878048780487805,15.736738703339881
Sentralbordoperatører,39000.0,3.8338658146964857,11.940298507462686
Serviceelektronikere,45140.0,4.20129270544783,12.991239048811012
Servicemedarbeidere (bensinstasjon),34370.0,4.8185422384873435,23.366834170854272
Servitører,31450.0,4.728604728604728,13.702096890817064
Sikkerhetsanalytikere mv.,67630.0,5.359090200965882,16.683919944789512
Sivilagronomer mv.,57790.0,4.616220130340333,11.348747591522159
Sivilarkitekter,65480.0,3.7717908082408873,11.664392905866302
Sivilingeniører (bygg og anlegg),68740.0,4.483964128286973,11.645281793081045
Sivilingeniører (elektronikk),73290.0,4.834787584036619,12.892791127541589
Sivilingeniører (elkraftteknikk),74390.0,4.715653153153153,9.34881669851536
"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",85280.0,3.2695567934124488,11.01275709450664
Sivilingeniører (industri og produksjon),62750.0,5.960824045930429,13.24670637069121
Sivilingeniører (kjemi),67200.0,3.3051498847040737,9.073202402207434
Sivilingeniører (maskin- og marin-teknikk),72310.0,1.8307280664695114,11.503469545104087
Sivilingeniører (miljøteknikk),65040.0,5.140640155189137,9.679595278246206
Sivilingeniører (telekommunikasjon),70710.0,5.774121166791324,21.808785529715763
Sjefskokker,40690.0,5.250905328504914,10.902153175252112
Sjefssekretærer,51790.0,5.52159739201304,16.644144144144143
Skattefunksjonærer,44520.0,4.189094313128949,13.167259786476867
Skipsmaskinister,69000.0,1.9955654101995564,9.558590028580502
Skogbrukere,37530.0,5.0966115933912075,16.048237476808904
Skogteknikere,50820.0,6.407035175879397,12.657947240079807
Skoleassistenter,33860.0,5.515736989716422,10.437051532941943
"Skreddere, buntmakere mv.",40240.0,4.033092037228542,11.098840419657648
Skuespillere,51680.0,4.298688193743693,23.311858744929612
"Skulptører, kunstmalere og andre billedkunstnere",46830.0,0.558299334335409,12.221423436376707
Skytebaser og sprengningsarbeidere,56520.0,-0.2822865208186309,7.780320366132723
"Slaktere, fiskehandlere mv.",37990.0,2.84244721169464,11.538461538461538
Smeder,39080.0,1.2960082944530846,11.816881258941345
Speditører og befraktere,51200.0,4.59652706843718,13.52549889135255
Spesialister i pedagogikk,54140.0,3.4390523500191064,10.175010175010176
Spesiallærere / spesialpedagoger,47940.0,4.217391304347826,9.928915386379272
Spesialsykepleiere,53700.0,6.993424985056784,15.310285591582565
Sports- og aktivitetsinstruktører,36260.0,2.140845070422535,6.396713615023473
"Sports-, rekreasjons- og kultursenterledere",57020.0,3.72930689466982,11.476050830889541
Steinhoggere mv.,43240.0,3.3955045432807274,12.224240851284714
Strategi- og planleggingssjefer,72030.0,4.51247823563552,14.990421455938696
Støpere,40420.0,3.0071355759429155,13.284753363228699
Sveisere,41910.0,3.226600985221675,11.90921228304406
Sykepleiere,48250.0,5.2344601962922575,14.417832582404552
Systemadministratorer,59540.0,5.082950935404165,11.248131539611359
Systemanalytikere/-arkitekter,67720.0,4.586872586872587,13.244147157190636
Takstmenn,55660.0,5.536594615092909,17.823878069432684
Taktekkere,41240.0,4.51089711099848,16.0056258790436
Tannleger,68340.0,1.7418490397498883,7.672916338427603
Tannpleiere,42950.0,4.57755052349647,9.790388548057258
Teknikere innen radio og tv,50400.0,3.194103194103194,15.068493150684931
Teknikere innen telekom,45180.0,5.956848030018762,11.942517343904855
Tekniske konservatorer,44650.0,2.880184331797235,12.667171334847339
Tekniske tegnere,54480.0,3.7516663492668063,13.523650760575121
Tele- og IKT-installatører,37770.0,2.887496594933261,9.414831981460022
Telefon- og nettselgere,41870.0,4.024844720496894,16.337871631008614
Tollere,43530.0,2.5200188412623645,11.787365177195685
Toppledere i interesseorganisasjoner,68760.0,2.5809339101894673,10.54662379421222
Toppledere i offentlig administrasjon,103180.0,3.5423983943803314,9.058239086777297
Torghandlere,53370.0,2.2022213711221754,22.63327205882353
Transportfunksjonærer,46010.0,4.997717937015062,12.935689739813453
Trenere og idrettsdommere,42080.0,2.6341463414634148,8.341915550978372
Truckførere,39920.0,4.066736183524505,12.040415380297501
Trykkere,40670.0,4.335556695741405,7.2521097046413505
Tømrere og snekkere,39640.0,4.151339989490278,13.908045977011493
Universitets- og høyskolelektorer/-lærere,54890.0,2.540631421632729,10.442655935613681
Uoppgitt / yrker som ikke kan identifiseres,48790.0,2.263676378117795,17.679691268692714
Vaktmestre,42930.0,5.3496932515337425,14.236295902075572
Varehandelssjefer,55910.0,6.779984721161192,16.454905228077486
Varepåfyllere,34310.0,4.92354740061162,21.839488636363637
Vektere,38310.0,3.7087168381158637,10.75455333911535
"Verktøymaker, låsesmeder mv.",42520.0,1.4797136038186158,10.989297833463848
Vernepleiere,47120.0,3.6059806508355323,12.110397335236737
Veterinærer,57530.0,3.008057296329454,13.538582987961318
"Vevere, strikkere mv. (innen husflidsproduksjon)",35590.0,3.9427570093457946,14.51093951093951
Yrker innen alternativ medisin,46790.0,2.385120350109409,11.16654787360418
Yrkesdykkere,49780.0,1.6748366013071896,6.412997007268063
Yrkesfaglærere,49250.0,4.52037351443124,8.647694683432604
