yrke,2016,2017,2018,2019,2020,Endring sist år,Endring siste 5 år
Regnskapsmedarbeidere,40610.0,41680.0,43100.0,44560.0,45640.0,2.423698384201077,12.386111795124354
Reisebyråmedarbeidere mv.,36700.0,37120.0,37980.0,39080.0,37780.0,-3.3265097236438077,2.9427792915531334
Reiseledere og guider,32180.0,31580.0,32300.0,32800.0,33990.0,3.6280487804878048,5.62461155997514
Reklame- og markedsføringsrådgivere,47120.0,49040.0,50950.0,51670.0,52880.0,2.341784401006387,12.224108658743633
Reklamedistributører mv.,30860.0,33890.0,35020.0,36240.0,37350.0,3.062913907284768,21.03046014257939
Religiøse yrker,36710.0,37720.0,38460.0,39870.0,40860.0,2.4830699774266365,11.30482157450286
Renholdere i private hjem,29660.0,30690.0,30710.0,31520.0,32510.0,3.140862944162436,9.608900876601483
Renholdere i virksomheter,30680.0,31370.0,32200.0,33270.0,33570.0,0.9017132551848512,9.419817470664928
Renholdsledere i virksomheter,35810.0,36680.0,37620.0,38500.0,38910.0,1.064935064935065,8.656799776598715
Renovasjonsarbeidere,33320.0,34570.0,35460.0,36480.0,37170.0,1.8914473684210527,11.554621848739496
Renseri- og vaskerimaskinoperatører,30280.0,30830.0,31630.0,32540.0,32850.0,0.9526736324523662,8.487450462351386
Resepsjonister (ekskl. hotell),33450.0,34310.0,35230.0,36470.0,37570.0,3.016177680285166,12.316890881913304
Reseptarer,41610.0,42280.0,43060.0,43610.0,44060.0,1.031873423526714,5.888007690459024
Restaurantsjefer,38620.0,39150.0,40410.0,41740.0,41490.0,-0.5989458552946814,7.431382703262559
"Revisorer, regnskapsrådgivere",54230.0,55490.0,58180.0,60370.0,61460.0,1.8055325492794434,13.332104001475198
Riggere og spleisere,42100.0,41210.0,42930.0,45130.0,46470.0,2.9692000886328387,10.380047505938242
Rådgivere innen kompetanseutvikling,50820.0,52430.0,55260.0,57420.0,57310.0,-0.19157088122605362,12.770562770562771
Rådgivere innen sosiale fagfelt,40290.0,41460.0,42630.0,44320.0,44760.0,0.9927797833935018,11.094564408041698
"Rådgivere/forskere, humanistiske fag",41370.0,43340.0,45030.0,45800.0,46620.0,1.7903930131004366,12.690355329949238
"Rådgivere/forskere, samfunnsvitenskap",53280.0,55210.0,57140.0,58470.0,60150.0,2.8732683427398666,12.894144144144143
"Rådgivere/forskere, samfunnsøkonomi",60400.0,61060.0,63670.0,66190.0,67120.0,1.4050460794681976,11.125827814569536
Rørleggere og VVS-montører,37990.0,39030.0,39910.0,41450.0,42330.0,2.123039806996381,11.42405896288497
Saksbehandlere innen sosiale ytelser,36210.0,37220.0,38070.0,39380.0,40240.0,2.1838496698831893,11.129522231427783
Salgs- og markedssjefer,69090.0,71130.0,73100.0,75660.0,77570.0,2.5244514935236584,12.273845708496165
Salgskonsulenter innen IKT-produkter,57610.0,59910.0,61260.0,61840.0,64140.0,3.719275549805951,11.334837701787883
Salgskonsulenter innen tekniske og medisinske produkter,57340.0,58960.0,61240.0,63450.0,64660.0,1.9070133963750986,12.76595744680851
Selgere (engros),49030.0,50220.0,51710.0,53820.0,55390.0,2.9171311780007434,12.971650010197838
Sentralbordoperatører,33710.0,34580.0,35250.0,36630.0,37220.0,1.6107016107016106,10.412340551765055
Serviceelektronikere,39110.0,39870.0,41360.0,42980.0,43150.0,0.3955328059562588,10.329838915878293
Servicemedarbeidere (bensinstasjon),26400.0,27720.0,28740.0,30400.0,31860.0,4.802631578947368,20.681818181818183
Servitører,26680.0,27470.0,28630.0,29740.0,29850.0,0.3698722259583053,11.881559220389805
Sikkerhetsanalytikere mv.,56630.0,57590.0,59510.0,61510.0,63530.0,3.284018858722159,12.184354582376832
Sivilagronomer mv.,49930.0,50990.0,54100.0,55270.0,54740.0,-0.9589288945178217,9.633486881634289
Sivilarkitekter,56870.0,58250.0,59930.0,61970.0,62730.0,1.2263998709052768,10.304202567258661
Sivilingeniører (bygg og anlegg),60130.0,61410.0,63090.0,64760.0,65620.0,1.3279802347127856,9.130217861300515
Sivilingeniører (elektronikk),63980.0,64780.0,67550.0,69400.0,69750.0,0.5043227665706052,9.01844326351985
Sivilingeniører (elkraftteknikk),66650.0,67950.0,69640.0,71890.0,70860.0,-1.4327444707191543,6.316579144786197
"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",76080.0,76500.0,80250.0,82560.0,82310.0,-0.3028100775193799,8.188748685594112
Sivilingeniører (industri og produksjon),56410.0,55430.0,57100.0,59580.0,59260.0,-0.5370929842228935,5.052295692253147
Sivilingeniører (kjemi),60630.0,61110.0,62820.0,64460.0,64840.0,0.589512876202296,6.943757215899719
Sivilingeniører (maskin- og marin-teknikk),63270.0,64820.0,66960.0,69910.0,70920.0,1.4447146330996996,12.091038406827881
Sivilingeniører (miljøteknikk),59460.0,59410.0,60120.0,62300.0,61730.0,-0.9149277688603531,3.817692566431214
Sivilingeniører (telekommunikasjon),57000.0,57990.0,58880.0,61070.0,66680.0,9.186179793679385,16.982456140350877
Sjefskokker,35230.0,36080.0,36870.0,37690.0,38100.0,1.087821703369594,8.146466080045416
Sjefssekretærer,42730.0,43620.0,46600.0,48620.0,48070.0,-1.1312217194570136,12.497074654809268
Skattefunksjonærer,37740.0,39130.0,40640.0,41690.0,42550.0,2.0628448069081315,12.745098039215685
Skipsmaskinister,61290.0,62340.0,63420.0,65780.0,67170.0,2.11310428701733,9.593734703866863
Skogbrukere,32140.0,32120.0,34080.0,35260.0,35670.0,1.1627906976744187,10.983198506533915
Skogteknikere,42930.0,44670.0,45510.0,47540.0,47480.0,-0.12620950778291964,10.598648963428838
Skoleassistenter,30170.0,30770.0,31210.0,32140.0,32110.0,-0.09334163036714374,6.430228704010607
"Skreddere, buntmakere mv.",34060.0,35750.0,36130.0,36820.0,38010.0,3.2319391634980987,11.597181444509689
Skuespillere,41250.0,41030.0,40850.0,42590.0,48330.0,13.477342099084291,17.163636363636364
"Skulptører, kunstmalere og andre billedkunstnere",39030.0,41220.0,41980.0,43170.0,45440.0,5.258281213805883,16.423264155777606
Skytebaser og sprengningsarbeidere,53710.0,53720.0,56150.0,55580.0,59140.0,6.40518172004318,10.109849190094955
"Slaktere, fiskehandlere mv.",31020.0,34050.0,34740.0,35910.0,36730.0,2.2834864940128097,18.407479045776917
Smeder,34510.0,34870.0,36580.0,38760.0,38480.0,-0.7223942208462332,11.503911909591423
Speditører og befraktere,43730.0,44680.0,46080.0,47700.0,48580.0,1.8448637316561847,11.090784358563916
Spesialister i pedagogikk,46770.0,48330.0,49830.0,52130.0,51760.0,-0.7097640514099367,10.669232413940561
Spesiallærere / spesialpedagoger,42250.0,43380.0,44410.0,45670.0,45810.0,0.30654696737464415,8.42603550295858
Spesialsykepleiere,45900.0,46980.0,48690.0,50270.0,50640.0,0.7360254625024866,10.326797385620914
Spinne- og nøstemaskinoperatører,30200.0,30840.0,32170.0,33140.0,35390.0,6.789378394689197,17.18543046357616
Sports- og aktivitetsinstruktører,33360.0,34300.0,34250.0,34750.0,35740.0,2.8489208633093526,7.134292565947242
"Sports-, rekreasjons- og kultursenterledere",48790.0,49870.0,51760.0,52840.0,53390.0,1.040878122634368,9.428161508505841
Steinhoggere mv.,37040.0,38290.0,39050.0,40470.0,41640.0,2.891030392883618,12.419006479481641
Strategi- og planleggingssjefer,60870.0,62490.0,65260.0,67620.0,68790.0,1.730257320319432,13.011335633316905
Støpere,34100.0,34980.0,36880.0,39160.0,39350.0,0.4851889683350358,15.395894428152493
Sveisere,36470.0,37310.0,38120.0,39440.0,40420.0,2.4847870182555782,10.830819851933096
Sykepleiere,42130.0,43320.0,44730.0,46690.0,47020.0,0.7067894624116513,11.606930928079754
Systemadministratorer,52250.0,53270.0,53770.0,55010.0,56330.0,2.399563715688057,7.8086124401913874
Systemanalytikere/-arkitekter,58140.0,59630.0,61340.0,63590.0,64520.0,1.4624941028463594,10.973512211902305
Takstmenn,44720.0,46700.0,48330.0,50630.0,52240.0,3.179932846138653,16.815742397137747
Taktekkere,34690.0,35810.0,37230.0,38540.0,39480.0,2.4390243902439024,13.808013836840589
Tannleger,61540.0,63290.0,64450.0,66480.0,66380.0,-0.15042117930204574,7.864803379915503
Tannpleiere,38560.0,39510.0,40480.0,42170.0,41610.0,-1.3279582641688403,7.909751037344398
Teknikere innen radio og tv,41190.0,42780.0,44250.0,46140.0,47740.0,3.4677069787602948,15.901917941247875
Teknikere innen telekom,40780.0,40240.0,41200.0,41220.0,41720.0,1.21300339640951,2.30505149583129
Tekniske konservatorer,37340.0,39020.0,40400.0,42160.0,42400.0,0.5692599620493358,13.551151580074986
Tekniske tegnere,46330.0,47580.0,49200.0,50860.0,52030.0,2.300432559968541,12.303043384416144
Tele- og IKT-installatører,33920.0,34370.0,34920.0,36300.0,36650.0,0.9641873278236914,8.048349056603774
Telefon- og nettselgere,35290.0,34990.0,36690.0,37460.0,38380.0,2.4559530165509877,8.756021535845848
Tollere,37890.0,38900.0,39810.0,41870.0,42410.0,1.289706233580129,11.929268936394827
Toppledere i interesseorganisasjoner,58490.0,60220.0,62080.0,63730.0,65160.0,2.243841205083948,11.40365874508463
Toppledere i offentlig administrasjon,91160.0,93740.0,96640.0,100430.0,98950.0,-1.4736632480334562,8.54541465555068
Torghandlere,42590.0,42180.0,43780.0,46590.0,51670.0,10.90362738785147,21.31955858182672
Transportfunksjonærer,39900.0,40260.0,41460.0,42780.0,43320.0,1.262272089761571,8.571428571428571
Trenere og idrettsdommere,37980.0,38520.0,39670.0,39960.0,40410.0,1.1261261261261262,6.398104265402843
Truckførere,34190.0,35500.0,36650.0,37530.0,38250.0,1.9184652278177456,11.874817198011115
Trykkere,36950.0,37500.0,38190.0,38280.0,38380.0,0.2612330198537095,3.8700947225981053
Tømrere og snekkere,33860.0,34750.0,35780.0,37070.0,38010.0,2.5357431885621797,12.2563496751329
Universitets- og høyskolelektorer/-lærere,47900.0,48840.0,49930.0,51530.0,52260.0,1.4166504948573646,9.102296450939457
Uoppgitt / yrker som ikke kan identifiseres,37960.0,38610.0,38960.0,41260.0,44390.0,7.5860397479398936,16.938883034773447
Vaktmestre,35910.0,36930.0,38040.0,39270.0,39890.0,1.578813343519226,11.083263714842662
Varehandelssjefer,46150.0,47150.0,48620.0,50070.0,51360.0,2.5763930497303775,11.289274106175515
Varepåfyllere,28860.0,28110.0,29760.0,31470.0,31990.0,1.6523673339688592,10.845460845460845
Vektere,33910.0,34260.0,35230.0,35720.0,36510.0,2.2116461366181412,7.667354762606901
"Verktøymaker, låsesmeder mv.",37420.0,38240.0,39770.0,41460.0,41880.0,1.0130246020260492,11.918760021378942
Vernepleiere,41200.0,42390.0,43420.0,45530.0,45940.0,0.9005051614320229,11.504854368932039
Veterinærer,48800.0,50960.0,52440.0,54700.0,55490.0,1.4442413162705667,13.709016393442623
"Vevere, strikkere mv. (innen husflidsproduksjon)",30600.0,31250.0,31880.0,33000.0,33680.0,2.0606060606060606,10.065359477124183
Yrker innen alternativ medisin,39740.0,41120.0,42360.0,43200.0,44810.0,3.726851851851852,12.757926522395572
Yrkesdykkere,46350.0,46660.0,47950.0,47420.0,48800.0,2.910164487557992,5.285868392664509
Yrkesfaglærere,43180.0,44490.0,45430.0,46220.0,46400.0,0.38944180008654267,7.45715609078277
